ASN,domains
53038,48123
138968,47916
55286,47883
19237,47730
48979,47577
62041,47577
30962,47460
8308,47439
55688,47332
15703,46963
48894,46916
29141,46889
44094,46755
39790,46678
3303,46521
9597,46148
12552,45970
44128,45892
25563,45523
44460,45114
12322,45000
53055,44983
209626,44964
136052,44890
7625,44760
214036,44662
39783,44590
201446,44563
203020,44421
202675,44412
135581,44348
203053,44298
207333,44247
29278,44209
60592,44146
34989,44099
146817,43616
3188,43587
134365,43502
131353,43451
200083,43427
214996,43370
45179,43325
43128,43147
136970,42883
209847,42602
13911,42397
35382,42282
6134,41974
47292,41921
58065,41709
8426,41539
8551,41513
35908,41395
27589,41389
63023,41111
41000,40822
8220,40798
205876,40682
4907,40620
53243,40607
133861,40532
38532,40432
39572,40342
43081,40331
205787,40294
56851,40269
45839,40226
45903,40171
1836,40139
61207,40041
199993,39968
11042,39957
38700,39900
20559,39809
7552,39738
24282,39736
45899,39669
139659,39626
44051,39620
23576,39477
60922,39315
34895,39315
59545,39245
34918,39027
31242,38880
4826,38655
8447,38636
209,38596
18186,38264
60798,38075
28824,38021
41689,37971
25369,37946
53587,37505
30475,37353
9286,37202
52580,37099
399195,37011
35425,36776
394303,36749
43927,36582
12616,36473
197902,36134
57043,36087
398296,35933
3352,35839
906,35799
152705,35745
12915,35622
214927,35604
200019,35574
263702,35530
43896,35362
32181,35347
60458,35330
211381,35246
31727,35145
35251,34835
209622,34810
50840,34700
21221,34577
133104,34252
12586,34032
212317,33846
56067,33839
136188,33775
10103,33718
8473,33704
132420,33438
58010,33278
12312,33256
4811,33193
1759,33160
136133,33153
63473,33145
141004,32805
133159,32716
199753,32629
153706,32560
60380,32470
200713,32375
262518,32339
60362,32279
21155,32265
26042,32153
15598,31868
41357,31793
36218,31712
41564,31610
17506,31604
44559,31493
1136,31466
49635,31252
56694,31232
48715,31145
2116,31080
18450,31006
138538,30736
30277,30680
23535,30545
43260,30423
203576,30395
265839,30299
400866,30243
12337,30210
31083,29985
150055,29960
4760,29874
3549,29834
140293,29731
136170,29493
16125,29360
201999,29321
2856,29316
34984,29222
48348,29216
209150,29189
680,29050
216047,28659
201964,28657
21769,28442
52335,28232
208769,28138
329278,28121
400194,28097
46562,28055
328037,28043
7303,27860
60976,27799
21409,27792
9735,27763
34624,27738
211126,27702
401348,27674
702,27628
57169,27537
396356,27493
23394,27451
51659,27333
59925,27315
39566,27230
328608,27141
61461,27109
63068,27050
204436,27011
53057,26943
29691,26923
29017,26816
8391,26812
44476,26758
38731,26709
147300,26652
131775,26597
9919,26456
42624,26293
151858,26215
24989,26158
54643,26078
30600,26076
61173,26055
214432,26034
262256,26028
45974,25800
965,25777
7296,25761
8708,25752
15557,25646
35470,25604
21100,25579
6848,25559
213120,25501
216071,25333
577,25293
200487,25193
35415,25167
12874,25125
133752,25100
8767,25077
395092,24958
149440,24953
59787,24949
24085,24924
201706,24795
33915,24713
215540,24706
150706,24693
31549,24679
149020,24650
216139,24638
19853,24558
49466,24447
25393,24443
31863,24370
9335,24352
197155,24348
30781,24319
3342,24291
396190,24216
196752,24200
12400,24101
9044,24068
3301,23999
45538,23889
196645,23785
133380,23774
3292,23762
42237,23729
62610,23709
131149,23644
47521,23630
39494,23601
2516,23526
132415,23497
48689,23392
211859,23304
49556,23229
23650,23210
198068,23203
15879,23122
16347,23120
62449,23105
196713,23104
44709,23081
211871,22939
393960,22933
133296,22870
137697,22712
57497,22590
12779,22562
135161,22516
133744,22465
57994,22438
27257,22408
399629,22354
202958,22318
27678,22277
18747,22260
43391,22233
14415,22208
38224,22106
210644,22021
135222,22011
20647,21961
264649,21942
134765,21933
34360,21911
212296,21865
208154,21844
62370,21836
13767,21821
4455,21767
33828,21679
133448,21661
40244,21643
8741,21561
208414,21509
5578,21461
28707,21444
15657,21437
20021,21379
31027,21346
60713,21344
206888,21308
134771,21245
6364,21202
206264,21116
29076,21015
63956,21006
210130,20966
211522,20947
5089,20858
41828,20854
31042,20783
9002,20778
12722,20558
29422,20548
20115,20455
54500,20409
23824,20396
8860,20314
54004,20305
24679,20286
8422,20281
14782,20132
12389,20052
214943,20049
7029,20003
328882,19955
1267,19934
135951,19923
198968,19917
34549,19874
13194,19836
199246,19793
140641,19769
9848,19723
14907,19704
197226,19650
8455,19504
44925,19462
49544,19444
132335,19424
35280,19403
394380,19400
9723,19390
23005,19382
140292,19379
32708,19372
200313,19356
211401,19305
6786,19279
24641,19202
46050,19167
44684,19101
135822,19071
12338,19055
59943,19013
212219,19003
5650,18993
17054,18941
42093,18924
200548,18856
57494,18828
48434,18817
150846,18777
7385,18762
14956,18729
207647,18725
49392,18644
42926,18627
8685,18626
201206,18617
10929,18607
49282,18581
24544,18556
200062,18514
42910,18479
400940,18433
3308,18309
39020,18186
20326,18180
59729,18159
198203,18128
394344,18114
15570,18063
22652,18040
18229,17963
200373,17948
51088,17913
213252,17895
38880,17759
29789,17738
15699,17727
135918,17692
208425,17686
396073,17660
12595,17599
139923,17596
393340,17576
210976,17509
61211,17363
42244,17352
56485,17343
41535,17304
61168,17264
266400,17187
16814,17179
44453,17174
51747,17008
15590,16960
132322,16924
3491,16905
48147,16842
31708,16821
967,16778
18501,16722
