asn,vri_count
AS43395,60
AS204393,7
AS204650,27
AS202251,2
AS48944,79
AS48147,70
AS202798,2
AS12660,13
AS48359,78
AS197343,4
AS59912,1
AS62196,1
AS4817,33
AS3209,1464
AS6805,572
AS3301,221
AS8987,465
AS3356,1137
AS8069,883
AS29256,378
AS29386,51
AS3326,208
AS31520,91
AS15785,28
AS21219,52
AS198731,17
AS213896,14
AS212559,7
AS44285,94
AS210892,21
AS42260,2
AS51699,5
AS34549,92
AS212567,6
AS47536,14
AS207439,6
AS24679,17
AS200615,3
AS205632,2
AS204063,6
AS205948,10
AS210918,2
AS203909,3
AS62387,29
AS212349,1
AS209771,2
AS202010,7
AS12586,212
AS60461,32
AS30823,139
AS16125,40
AS201061,3
AS22400,2
AS56382,28
AS198385,11
AS198735,9
AS214739,4
AS61157,24
AS210251,2
AS210168,2
AS12638,6
AS21472,18
AS51678,4
AS60404,28
AS3188,24
AS31655,24
AS9049,3
AS209303,1
AS34665,182
AS8492,608
AS39558,5
AS39087,17
AS210756,150
AS214790,25
AS205701,1
AS44626,1
AS216185,1
AS19437,118
AS44812,37
AS209813,3
AS56340,8
AS30848,60
AS31126,380
AS198762,1
AS31261,36
AS198833,1
AS198821,1
AS51219,5
AS59530,1
AS212967,1
AS7155,4313
AS3178,18
AS211381,78
AS211492,2
AS211269,2
AS202025,3
AS24940,72
AS198726,11
AS57154,7
AS4809,297
AS23764,407
AS49209,2
AS25160,67
AS51088,78
AS54103,117
AS39855,419
AS49835,23
AS214294,13
AS59762,3
AS48753,12
AS210734,10
AS205220,41
AS47516,7
AS50448,2
AS209604,34
AS3194,8
AS205800,16
AS202492,37
AS209242,285
AS212607,2
AS211059,2
AS3190,3
AS30844,10
AS42705,21
AS21277,260
AS207734,2
AS205020,17
AS207701,3
AS47217,18
AS8648,94
AS47215,16
AS209304,3
AS56814,7
AS31214,18
AS196646,1
AS15404,133
AS16135,336
AS21412,37
AS50010,570
AS197207,195
AS50463,160
AS51043,13
AS196763,9
AS31042,32
AS48289,1
AS215671,4
AS214171,4
AS202053,59
AS5413,77
AS197524,12
AS39704,21
AS34977,148
AS40009,19
AS13193,20
AS60251,1
AS12969,32
AS8678,14
AS6848,80
AS8439,20
AS137811,13
AS214197,5
AS42010,13
AS50436,23
AS12849,395
AS1273,127
AS15802,326
AS26380,53
AS60168,14
AS44549,6
AS12778,8
AS208671,1
AS15836,12
AS16333,76
AS198904,29
AS28885,339
AS41368,55
AS199435,3
AS51407,301
AS51440,11
AS204957,114
AS21100,34
AS15626,43
AS42532,31
AS38136,53
AS39835,12
AS58141,6
AS57858,106
AS198288,6
AS216071,424
AS205516,48
AS29182,170
AS61424,11
AS208795,6
AS41275,33
AS208349,14
AS211183,29
AS43530,6
AS58143,7
AS49820,4
AS42303,18
AS31577,22
AS5606,98
AS8972,482
AS20738,163
AS20773,245
AS21499,183
AS21501,149
AS26496,186
AS34011,202
AS5483,149
AS34594,21
AS31673,50
AS202,610
AS203,776
AS21267,59
AS58291,9
AS7029,2994
AS42689,299
AS47232,30
AS50338,5
AS56561,7
AS198792,2
AS60641,3
AS51985,3
AS48173,33
AS30938,8
AS31631,21
AS41745,117
AS215433,6
AS49791,28
AS50053,61
AS205888,13
AS206487,30
AS43160,49
AS207412,9
AS210097,5
AS202676,3
AS201748,2
AS39493,1
AS210976,224
AS8680,86
AS41998,53
AS50627,2
AS58208,7
AS208226,16
AS55497,2
AS57976,27
AS59729,96
AS197883,34
AS206188,1
AS200356,6
AS200780,35
AS211573,2
AS212598,18
AS14061,108
AS393406,11
AS214985,2
AS8849,65
AS33921,8
AS43278,15
AS49392,5
AS215623,8
AS60287,1
AS43201,28
AS200436,14
AS201631,1
AS35753,479
AS58250,11
AS12353,31
AS42560,38
AS48642,42
AS51248,17
AS29050,5
AS39812,13
AS13768,136
AS197830,13
AS48763,7
AS215272,7
AS39787,3
AS60358,1
AS20978,18
AS45012,54
AS15600,88
AS58185,3
AS38926,5
AS34757,3
AS41794,1
AS40995,2
AS12757,7
AS29518,113
AS49223,97
AS60268,27
AS210974,7
AS46261,242
AS8899,55
AS42652,27
AS59705,3
AS206576,13
AS42707,30
AS201547,4
AS198605,58
AS198068,13
AS211582,9
AS60203,12
